NCTId,Sponsor,Locations
NCT03186963,University of Sao Paulo,"Institute of Orthopedics and Traumatology - University of Sao Paulo, São Paulo, Brazil"
NCT05101187,F2G Biotech GmbH,"Hospital Felício Rocho, Belo Horizonte, Brazil; Santa Casa de Misericórdia de Belo Horizonte, Belo Horizonte, Brazil; Santa Casa de Misericórdia de Passos, Passos, Brazil; Hospital Erasto Gaertner - Liga Paranaense de Combate ao Câncer, Curitiba, Brazil; Irmandade da Santa Casa de Misericórdia de Porto Alegre, Porto Alegre, Brazil; Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil; Hospital São Lucas da PUCRS, Porto Alegre, Brazil; Hospital da Universidade Federal de Santa Maria CEP/UFSM, Santa Maria, Brazil"
NCT01207284,University of Sao Paulo General Hospital,"Department of Speech, Physical Therapy and Occupational Therapy, São Paulo, Brazil"
NCT06404333,University of Oxford,"Fundação de Dermatologia Tropical e Venereologia Alfredo da Matta (FUAM), Manaus, Brazil"
NCT02030652,Hospital Israelita Albert Einstein,"Hospital Israelita Albert Einstein, São Paulo, Brazil"
NCT04973449,AstraZeneca,"Research Site, Brasília, Brazil; Research Site, Curitiba, Brazil; Research Site, Natal, Brazil; Research Site, Natal, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Salvador, Brazil"
NCT04669015,Genova Inc.,"HCPA- Hospital de Clínicas de Porto Alegre, Alegre, Brazil; Fundação PIO XII Hospital de Amor de Barretos, Barretos, Brazil; Hospital Casa de Saúde Vera Cruz (Coordenador), Campinas, Brazil; Hospital São José, Criciúma, Brazil; Hospital das Clínicas UFG, Goiânia, Brazil; Hospital Geral Prof. Dr. Waldemar de Carvalho Pinto Filho de Guarulhos - BR TRIALS, Guarulhos, Brazil; Hospital Felício Rocho, Horizonte, Brazil; Centro de Pesquisas Clínicas da Fundação Doutor Amaral Carvalho, Jaú, Brazil; CePCLIN - Centro de Estudos e Pesquisas em Moléstias Infecciosas, Natal, Brazil; Hospital São Luiz de Jabaquara, Porto Alegre, Brazil; Santa Casa de Misericórdia de Porto Alegre, Porto Alegre, Brazil; Hospital 9 de Julho, São Paulo, Brazil; Hospital São Luiz de Jabaquara, São Paulo, Brazil; Instituto de Moléstias Cardiovalsculares Tatuí Ltda, Tatuí, Brazil; Lobus Centro de Pesquisa, Volta Redonda, Brazil; Lóbus Centro de Pesquisa Clínica, Volta Redonda, Brazil"
NCT04352543,Universidade Federal de Goias,"UFG, Jatai, Brazil"
NCT01502215,University of Sao Paulo,"Instituto do Cancer do Estado de Sao Paulo, São Paulo, Brazil"
NCT02433964,Universidade do Vale do Paraíba,"Lasertherapy and Photobiology Center, São José dos Campos, Brazil"
NCT01376804,Hoffmann-La Roche,"Universidade Federal de Sao Paulo - UNIFESP, São Paulo, Brazil"
NCT06073678,University of Sao Paulo,"Bauru School of Dentistry, Bauru, Brazil"
NCT03662126,"Kartos Therapeutics, Inc.","Centro de oncologia Leonardo da Vinci, Fortaleza, Brazil; Hospital Erasto Gaertner, Curitiba, Brazil; UNICAMP - Universidade Estadual de Campinas Hemocentro, Campinas, Brazil; Hospital das Clínicas UFG, Goiânia, Brazil; Fundacao Doutor Amaral Carvalho, Jaú, Brazil; Hospital de Clinicas de Porto Alegre - Centro de Pesquisa Clinica, Porto Alegre, Brazil; Associação Educadora São Carlos AESC - Hospital Mãe de Deus - Centro de Pesquisa, Porto Alegre, Brazil; Instituto de Ensino e Pesquisa São Lucas, São Paulo, Brazil; Hospital A C Camargo - Fundacao Antonio Prudente, São Paulo, Brazil; Instituto D'or de Pesquisa e Ensino, São Paulo, Brazil; Hospital das Clínicas da Universidade de São Paulo, São Paulo, Brazil; Instituto COI São Paulo, São Paulo, Brazil"
NCT01673867,Bristol-Myers Squibb,"Local Institution - 0056, Fortaleza, Brazil; Local Institution - 0054, Salvador, Brazil; Local Institution - 0053, Porto Alegre, Brazil; Local Institution - 0055, Porto Alegre, Brazil; Local Institution - 0052, Barretos, Brazil; Local Institution - 0051, Rio de Janeiro, Brazil"
NCT00309244,Mannkind Corporation,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil; Hospital Sao Lucas da PUCRS, Porto Alegre, Brazil; CPClin-Centro de Pesquisas Clinicas, São Paulo, Brazil; Universidade Estabual de Maringa, Maringa Parana, Brazil; Nucleo de Medicina Integrada, Mogi das Cruzes, Brazil; Instituto Estadual De Diabetes e Endocrinologia Luis Capriglione, Rio de Janeiro, Brazil; Ccbr Brasil Centro de Analises e Pesquisas Clinicas Ltda, Rio de Janeiro, Brazil; Hospital Guilherme Alvaro, Santos, Brazil; Hospital do Rim e Hipertensao, São Paulo, Brazil; Instituto da Saude e Bem Estar da Mulher, São Paulo, Brazil; Blumenau Servicos Medicos S/C Ltda, São Paulo, Brazil; Centro de Pesquisa Clinica e Medicina Avancada, São Paulo, Brazil"
NCT04247893,University of Nove de Julho,"University of Nove de Julho, São Paulo, Brazil"
NCT05413993,University of Nove de Julho,"Nove de Julho Univ, São Paulo, Brazil"
NCT04469621,Sanofi,"Investigational Site Number 0760003, Porto Alegre, Brazil; Investigational Site Number 0760001, São José do Rio Preto, Brazil; Investigational Site Number 0760002, São Paulo, Brazil"
NCT04167358,GlaxoSmithKline,"GSK Investigational Site, Porto Alegre, Brazil; GSK Investigational Site, Botucatu, Brazil; GSK Investigational Site, Brasília, Brazil; GSK Investigational Site, Salvador, Brazil"
NCT04629248,Hoffmann-La Roche,"Ser Servicos Especializados Em Reumatologia, Salvador, Brazil; Hospital de Base de Sao Jose do Rio Preto, São José do Rio Preto, Brazil; Hospital do Rim e Hipertensão - Fundação Oswaldo Ramos, São Paulo, Brazil; Hospital das Clinicas - FMUSP, São Paulo, Brazil"
NCT04697615,São Paulo State University,"University of Sao Paulo State, Presidente Prudente, Brazil"
NCT01196611,Federal University of São Paulo,"Universidade Federal de Sao Paulo, São Paulo, Brazil"
NCT02555878,"Janssen Research & Development, LLC",", Barretos, Brazil; , Caxias do Sul, Brazil; , Curitiba, Brazil; , Itajaí, Brazil; , Lajeado, Brazil; , Londrina, Brazil; , Mogi das Cruzes, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Rs, Brazil; , Rio de Janeiro, Brazil; , Santo André, Brazil; , São José do Rio Preto, Brazil; , São Paulo, Brazil; , Sorocaba, Brazil"
NCT06420011,AstraZeneca,"Research Site, Joinville, Brazil; Research Site, Porto Alegre, Brazil"
NCT03883763,Cristália Produtos Químicos Farmacêuticos Ltda.,"CEPEC, São Luís, Brazil"
NCT04393038,Abivax S.A.,"Fundacao de Medicina Tropical Doutor Heitor Vieira Dourado - Instituto de Pesquisa Clínica Carlos Borborema, Manaus, Brazil; Centro Oncológico de Roraima - CECOR - NAP, Boa Vista, Brazil; Hospital das Clinicas da FMUSP, São Paulo, Brazil; Instituto Nacional de Infectologia Evandro Chagas - FIOCRUZ Rio de Janeiro, Rio de Janeiro, Brazil; Conjunto Hospitalar do Mandaqui, São Paulo, Brazil"
NCT03979755,University of Sao Paulo,"University of São Paulo, Ribeirão Preto, Brazil"
NCT03373526,Daniel Godoy Martinez,"University Hospital-EBSERH, Juiz de Fora, Brazil"
NCT00774930,Ipsen,"Biocancer - Centro de Pesquisa e Tratamento do Câncer, Belo Horizonte, Brazil; Hospital LifeCenter, Belo Horizonte, Brazil; Oxion Medicina Oncológica, Belo Horizonte, Brazil; Hospital Universitário de Brasilia, Brasília, Brazil; Hospital Erasto Gaertner, Curitiba, Brazil; Irmandade da Santa Casa de Misericórdia de Porto Alegre, Porto Alegre, Brazil; Hospital de Base de São José do Rio Preto, São José do Rio Preto, Brazil"
NCT01489111,Novo Nordisk A/S,"Novo Nordisk Investigational Site, Campinas, Brazil"
NCT00611364,Universidade Federal de Goias,"Liga de Hipertensão Arterial da Universidade Federal de Goiás, Goiânia, Brazil"
NCT03111199,Wouber Hérickson de Brito Vieira,"Federal University of Rio Grande do Norte, Natal, Brazil"
NCT01724021,Hoffmann-La Roche,", Belo Horizonte, Brazil; , Juiz de Fora, Brazil; , Varginha, Brazil; , Curitiba, Brazil; , Londrina, Brazil; , Recife, Brazil; , Caxias do Sul, Brazil; , Novo Hamburgo, Brazil; , Santa Maria, Brazil; , Santo André, Brazil; , São José do Rio Preto, Brazil"
NCT06020014,AstraZeneca,"Research Site, Barretos, Brazil; Research Site, Blumenau, Brazil; Research Site, Campinas, Brazil; Research Site, Campinas, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Porto Alegre, Brazil; Research Site, São Bernardo do Campo, Brazil; Research Site, São Bernardo do Campo, Brazil; Research Site, São José do Rio Preto, Brazil"
NCT02390206,Ipsen,"Hospital Bettina Ferro de Souza Campus IV da Universidade Federal do Pará, Belém, Brazil; Centro Catarinense de Reabilitação, Florianópolis, Brazil; Centro de Reabilitação e Readaptação Dr. Henrique Santillo, Goiânia, Brazil; Clinica Neurológica e Neurocirúrgica de Joinville, Joinville, Brazil; Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto, Ribeirão Preto, Brazil; Hospital Universitário Clementino Fraga Filho (HUCFF), Rio de Janeiro, Brazil; Instituto de Reabilitação Lucy Montoro - FAMERP, São José do Rio Preto, Brazil; Irmandade da Santa Casa de Misericórida de São Paulo, São Paulo, Brazil; Hospital Alemão Oswaldo Cruz, São Paulo, Brazil; Hospital São Paulo - UNIFESP, São Paulo, Brazil; HCSP - Complexo Hospital das Clinicas Instituto de Medicina Fisica e Reabilitação, São Paulo, Brazil"
NCT00757458,University of Sao Paulo,"Universidade de Sao Paulo Hospital das Clinicas, São Paulo, Brazil"
NCT00656721,Universidade Federal do Rio de Janeiro,"Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Hospital Universitário Clementino Fraga Filho, Rio de Janeiro, Brazil"
NCT03198806,Universidade Estadual Paulista Júlio de Mesquita Filho,"Luiz Carlos Marques Vanderlei, Presidente Prudente, Brazil"
NCT06559306,"Janssen Research & Development, LLC","L2IP Instituto de Pesquisas Clinicas, Brasília, Brazil; CAEP Centro Avancado De Estudos E Pesquisas, Campinas, Brazil; Sociedade Literaria e Caritativa Santo Agostinho Hospital Sao Jose, Criciúma, Brazil; Universidade Federal do Rio Grande do Norte Hospital Universitario Onofre Lopes, Natal, Brazil; Instituto Mederi de Pesquisa e Saude, Passo Fundo, Brazil; Hospital De Clinicas De Porto Alegre, Porto Alegre, Brazil; NPCRS Nucleo de Pesquisa Clinica do Rio Grande do Sul, Porto Alegre, Brazil; Uniao Brasileira de Educacao e Assistencia INSCER Instituto do Cerebro do Rio Grande do Sul, Porto Alegre, Brazil; Ruschel Medicina e Pesquisa Clínica Ltda, Rio de Janeiro, Brazil; Centro Integrado Facili, São Bernardo do Campo, Brazil; CPQuali Pesquisa Clinica LTDA ME, São Paulo, Brazil; BR Trials, São Paulo, Brazil"
NCT02961049,Federal University of Uberlandia,"Federal University of Uberlandia, Uberlândia, Brazil"
NCT06970964,Federal University of São Paulo,"Federal University of Sao Paulo, São Paulo, Brazil"
NCT06934798,University of Sao Paulo,"Instituto do Coração HCFMUSP, São Paulo, Brazil"
NCT02372214,University of Sao Paulo General Hospital,"Clinics Hospital of São Paulo University Medical School, São Paulo, Brazil"
NCT02236247,University of Sao Paulo,"Heart Failure Unit, Heart Institute, University of Sao Paulo Medical School, São Paulo, Brazil"
NCT04793958,Mirati Therapeutics Inc.,"Local Institution - 010-446, Ijuí, Brazil; Local Institution - 010-443, Porto Alegre, Brazil; Local Institution - 010-450, Blumenau, Brazil; Local Institution - 010-442, Curitiba, Brazil; Local Institution - 010-449, Liberdade, Brazil; Local Institution - 010-444, Santo André, Brazil; Local Institution - 010-440, São José do Rio Preto, Brazil; Local Institution - 010-441, São Paulo, Brazil; Local Institution - 010-445, São Paulo, Brazil; Local Institution - 010-447, São Paulo, Brazil"
NCT01129492,University of Sao Paulo General Hospital,"University of Sao Paulo General Hospital, São Paulo, Brazil"
NCT03645538,Universidade Federal de Pernambuco,"Applied Neuroscience Laboratory, Recife, Brazil; Applied Neuroscience Laboratory, Recife, Brazil"
NCT03846518,Pontifícia Universidade Católica de Minas Gerais,"Pontifícia Universidade Católica de Minas Gerais, Belo Horizonte, Brazil"
NCT00359879,AstraZeneca,"Research Site, Campinas, Brazil; Research Site, Curitiba, Brazil; Research Site, Fortaleza, Brazil; Research Site, Goiânia, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Rio de Janeiro, Brazil; Research Site, Salvador, Brazil; Research Site, São José do Rio Preto, Brazil; Research Site, São Paulo, Brazil"
NCT05418179,Universidade Federal de Santa Catarina,"Polydoro Ernani de São Thiago University Hospital, Florianópolis, Brazil"
NCT05598203,Hospital de Clinicas de Porto Alegre,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil; Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil"
NCT02146027,University of Sao Paulo General Hospital,"University of Sao Paulo - General Hospital, São Paulo, Brazil"
NCT00604747,University of Sao Paulo,"Camila Torriani, São Paulo, Brazil"
NCT05776147,Latin American Cooperative Oncology Group,"ICC - Instituto do Câncer do Ceará, Fortaleza, Brazil; Hospital Sírio-Libanês DF, Brasília, Brazil; Hospital Márcio Cunha da Fundação São Francisco Xavier (HMC-FSFX), Ipatinga, Brazil; Oncominas - Clínica de Oncologia no Sul de Minas, Pouso Alegre, Brazil; Real Hospital Português de Beneficência em Pernambuco, Recife, Brazil; Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto - USP, Ribeirão Preto, Brazil; Instituto COI - Clínicas Oncológicas Integradas (Instituto Américas RJ), Rio de Janeiro, Brazil; Hospital Sírio-Libanês SP, São Paulo, Brazil; HAOC - Hospital Alemão Oswaldo Cruz, São Paulo, Brazil; BP - A Beneficência Portuguesa de São Paulo, São Paulo, Brazil; A.C. Camargo Cancer Center, São Paulo, Brazil"
NCT00241449,AstraZeneca,"Research Site, Belo Horizonte, Brazil; Research Site, Goiânia, Brazil; Research Site, São Paulo, Brazil"
NCT05011058,"Viracta Therapeutics, Inc.","CEPEVILLE - Instituto Joinvilense de Hematologia e Oncologia, Joinville, Brazil; Ruschel Medicina e Pesquisa Clinica, Rio de Janeiro, Brazil; CEPHO - Centro de Estudos e Pesquisas de Hematologia e Oncologia, Santo André, Brazil; CIPE Centro Internacional de Pesquisa - AC Camargo Cancer Center, São Paulo, Brazil; HCFMUSP - Hospital das Clínicas da Faculdade de Medicina Universidade de São Paulo, São Paulo, Brazil"
NCT05182840,Boehringer Ingelheim,"Hospital Universitário João de Barros Barreto, Belém, Brazil; Faculdade de Medicina de Botucatu - UNESP, Botucatu, Brazil; Fundação Pró Renal Brasil, Curitiba, Brazil; Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil; Ruschel Medicina e Pesquisa Clínica, Rio de Janeiro, Brazil; CEMEC - Centro Multidisciplinar de Estudos Clínicos, São Bernardo do Campo, Brazil; BR Trials, São Paulo, Brazil; Centro de Pesquisa Clinica - CPCLIN, São Paulo, Brazil; Hospital do RIM - UNIFESP, São Paulo, Brazil"
NCT01431989,GlaxoSmithKline,"GSK Investigational Site, Goiânia, Brazil"
NCT01659268,University of Sao Paulo,"College of Nursing at Ribeirao Preto - University of Sao Paulo, Ribeirão Preto, Brazil"
NCT06128590,University of Nove de Julho,"Anna Carolina R.T. Horliana, São Paulo, Brazil"
NCT02761590,Universidade Federal de Sao Carlos,"Federal University of São Carlos, São Carlos, Brazil"
NCT04575597,Merck Sharp & Dohme LLC,"Chronos Pesquisa Clínica ( Site 0155), Brasília, Brazil; Santa Casa de Misericordia de Belo Horizonte ( Site 0150), Belo Horizonte, Brazil; Hospital de Clinicas da Universidade Federal do Parana ( Site 0154), Curitiba, Brazil; Hospital Tacchini ( Site 0157), Bento Gonçalves, Brazil; FUNFARME Hospital de Base Centro Integrado de Pesquisa ( Site 0151), São José do Rio Preto, Brazil; Instituto de Infectologia Emilio Ribas ( Site 0153), São Paulo, Brazil; Centro de Pesquisa Clinica II - ICHC - FMUSP ( Site 0152), São Paulo, Brazil"
NCT03433482,GlaxoSmithKline,"GSK Investigational Site, Salvador, Brazil; GSK Investigational Site, Natal, Brazil; GSK Investigational Site, Rio de Janeiro, Brazil; GSK Investigational Site, São Paulo, Brazil; GSK Investigational Site, São Paulo, Brazil"
NCT06551324,Pfizer,"Hospital São Carlos, Fortaleza, Brazil; Crio - Centro Regional Integrado de Oncologia, Fortaleza, Brazil; Hospital São Lucas da PUCRS, Porto Alegre, Brazil; CEPHO - Centro de Estudos e Pesquisas de Hematologia e Oncologia, Santo André, Brazil; Hospital de Base de São José do Rio Preto, São José do Rio Preto, Brazil; Fundação Faculdade Regional de Medicina de São José do Rio Preto, São José do Rio Preto, Brazil; Hospital Alemao Oswaldo Cruz, São Paulo, Brazil; Instituto do Cancer Arnaldo Vieira de Carvalho, São Paulo, Brazil; IBCC - Núcleo de Pesquisa e Ensino, São Paulo, Brazil"
NCT02573324,AbbVie,"Liga Norte Riograndense Contra o Câncer /ID# 143878, Natal, Brazil; Hospital Sao Lucas da PUCRS /ID# 143879, Porto Alegre, Brazil; Fundacao Pio XII - Hospital de Cancer de Barretos /ID# 143876, Barretos, Brazil; Instituto do Câncer do Estado de São Paulo - ICESP /ID# 144031, São Paulo, Brazil; Instituto Nacional de Câncer José Alencar Gomes da Silva (INCA) /ID# 143877, Rio de Janeiro, Brazil"
NCT06131424,AstraZeneca,"Research Site, São Paulo, Brazil"
NCT04583280,"Janssen Research & Development, LLC","Santa Casa de Misericordia de Belo Horizonte, Belo Horizonte, Brazil; Fundacao para o Desenvolvimento Medico Hospitalar (UNESP Botucatu), Botucatu, Brazil; Sociedade Campineira de Educacao e Instrucao Hospital e Maternidade Celso Pierro, Campinas, Brazil; Nucleo de Pesquisa do Hospital Pequeno Princípe, Curitiba, Brazil; Secretaria da Saude do Estado do Ceara - Hospital Doutor Carlos Alberto Studart Gomes, Fortaleza, Brazil; Associacao Hospitalar Moinhos de Vento, Porto Alegre, Brazil; Hospital Das Clinicas Da Faculdade De Medicina De RPUSP HCRP, Ribeirão Preto, Brazil; Fundacao Jose Luiz Egydio Setubal, São Paulo, Brazil; Santa Casa de Misericórdia de Votuporanga, Votuporanga, Brazil"
NCT06629779,Pfizer,"Oncocentro Servico Medicos e Hospitalares Ltda, Fortaleza, Brazil; Hospital São Carlos, Fortaleza, Brazil; Oncocentro Oncologia, Fortaleza, Brazil; Crio - Centro Regional Integrado de Oncologia, Fortaleza, Brazil; Instituto D'Or de Pesquisa e Ensino (IDOR) - Filial Salvador, Salvador, Brazil; Liga Norte Riograndense Contra o Câncer, Natal, Brazil; Hospital São Lucas da PUCRS, Porto Alegre, Brazil; MedPlex Eixo Norte, Porto Alegre, Brazil; Hospital Nossa Senhora da Conceição, Porto Alegre, Brazil; Fundação Pio XII - Hospital de Câncer de Barretos, Barretos, Brazil; CEPHO - Centro de Estudos e Pesquisas de Hematologia e Oncologia, Santo André, Brazil; Fundação Faculdade Regional de Medicina de São José do Rio Preto, São José do Rio Preto, Brazil; Hospital Alemao Oswaldo Cruz, São Paulo, Brazil; IBCC - Núcleo de Pesquisa e Ensino, São Paulo, Brazil"
NCT03377959,Federal University of Rio Grande do Sul,"Laboratório de Pesquisa do Exercício, Porto Alegre, Brazil"
NCT01229085,Azidus Brasil,"LAL Clinica Pesquisa e Desenvolvimento Ltda., Valinhos, Brazil"
NCT04161885,AbbVie,"Hospital de Clinicas de Porto Alegre /ID# 215042, Porto Alegre, Brazil; Hospital Amaral Carvalho - Fundacao Doutor Amaral Carvalho /ID# 215145, Jaú, Brazil; Hospital Nove de Julho /ID# 242359, São Paulo, Brazil; Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao /ID# 239516, São Paulo, Brazil"
NCT02025491,Hospital Universitário Professor Edgard Santos,"HUPES, Salvador, Brazil"
NCT02386280,Federal University of Health Science of Porto Alegre,"FUHSPortoAlegre, Porto Alegre, Brazil"
NCT06633679,Linkoeping University,"University of São Paulo - Department of Psychology, Faculty of Philosophy, Sciences and Languages of Ribeirão Preto, Ribeirão Preto, Brazil"
NCT01499355,Biogen,"Research Site, Cuiabá, Brazil; Research Site, São Paulo, Brazil"
NCT01347008,Federal University of São Paulo,"Systemic Sclerosis Outpatient Clinic, Hospital Sao Paulo, UNIFESP, São Paulo, Brazil"
NCT01575340,Universidade Federal de Santa Catarina,"Centro de Pesquisas Oncológicas - CEPON, Florianópolis, Brazil"
NCT04524689,Sanofi,"Centro Avancado de Oncologia CECAN - Liga Contra o Cancer Site Number : 0760004, Natal, Brazil"
NCT06891950,Butantan Institute,"Centro de Pesquisa 1 (POA01): Hospital São Lucas - PUCRS, Porto Alegre, Brazil"
NCT03343418,Instituto do Coracao,"Incor - Heart Institute - University of Sao Paulo, São Paulo, Brazil"
NCT04003688,University of Sao Paulo General Hospital,"Hospital das Clínicas - Faculdade de Medicina da Universidade de Sao Paulo, São Paulo, Brazil"
NCT03506386,Takeda,"Centro de Hematologia e Oncologia (CEHON), Salvador, Brazil; Hospital Sao Rafael, Salvador, Brazil; Hospital das Clinicas da UFG, Goiânia, Brazil; Hospital das Clinicas da UFMG, Belo Horizonte, Brazil; Fundacao IMEPEN, Juiz de Fora, Brazil; Clinica de Tratamento e Pesquisa em Hematologia LTDA., Cuiabá, Brazil; Hospital das Clinicas da UFPR, Curitiba, Brazil; CIONC - Centro Integrado de Oncologia de Curitiba, Curitiba, Brazil; Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Hospital Sao Vicente de Paulo, Passo Fundo, Brazil; Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil; Centro de Pesquisas Oncologicas (CEPON), Florianópolis, Brazil; Hospital Amaral Carvalho, Jaú, Brazil; Hospital do Servidor Publico de SP, São Paulo, Brazil; Clinica Sao Germano, São Paulo, Brazil; Hospital das Clinicas da FMUSP, São Paulo, Brazil; Casa de Saude Santa Marcelina, São Paulo, Brazil"
NCT03468673,University Paris 7 - Denis Diderot,"Center of treatment HIV/Aids - Brazil, São Paulo, Brazil"
NCT03104374,AbbVie,"CIP - Centro Internacional de Pesquisa /ID# 161808, Goiânia, Brazil; Faculdade de Medicina do ABC /ID# 163489, Santo André, Brazil; Hospital de Clínicas da Universidade Federal de Uberlândia /ID# 161794, Uberlândia, Brazil; Hospital de Clinicas de Porto Alegre /ID# 161795, Porto Alegre, Brazil; LMK Sevicos Medicos S/S /ID# 161806, Porto Alegre, Brazil; Duplicate_Hospital das Clinicas da Faculdade de Medicina de Ribeirao Preto - USP /ID# 163317, Ribeirão Preto, Brazil; Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao /ID# 161793, São Paulo, Brazil"
NCT01975103,Federal University of Rio Grande do Sul,"Instituto de Oftalmologia Lavinsky, Porto Alegre, Brazil"
NCT02164227,Universidade Federal de Pernambuco,"Maternidade Professor Bandeira Filho, Recife, Brazil"
NCT04980586,Hospital de Clinicas de Porto Alegre,"Hospital de Clínicas de Porto Alegre (HCPA), Porto Alegre, Brazil"
NCT00338286,"Janssen Research & Development, LLC",", Barretos, Brazil; , Curitiba, Brazil; , Goiânia/Go, Brazil; , Ijuí, Brazil; , Jaú, Brazil; , Piracicaba, Brazil; , Porto Alegre, Brazil; , Ribeirão Preto/Sp, Brazil; , Santo André, Brazil; , São José do Rio Preto, Brazil; , São Paulo, Brazil; , São Paulol, Brazil"
NCT02431286,Instituto do Cancer do Estado de São Paulo,"Angela Maria Sousa, São Paulo, Brazil"
NCT00480870,Associacao Fundo de Incentivo a Psicofarmcologia,"Instituto do Sono, São Paulo, Brazil"
NCT00727389,Academia Cearense de Odontologia,"Grupo de apoio a prevenção da incapacidade funcional, Fortaleza, Brazil"
NCT01923168,Novartis Pharmaceuticals,"Novartis Investigative Site, Goiânia, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Ribeirão Preto, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT01776424,Bayer,", Goiânia, Brazil; , Belo Horizonte, Brazil; , Uberaba, Brazil; , Uberlândia, Brazil; , Campina Grande do Sul, Brazil; , Curitiba, Brazil; , Canoas, Brazil; , Pelotas, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil; , Blumenau, Brazil; , Campinas, Brazil; , Campinas, Brazil; , Campinas, Brazil; , Matão, Brazil; , São José do Rio Preto, Brazil; , São José do Rio Preto, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , Votuporanga, Brazil; , São Paulo, Brazil"
NCT02056379,Hospital Israelita Albert Einstein,"Instituto Israelita de Ensino e Pesquisa Albert Einstein 's (IIEP), São Paulo, Brazil"
NCT03814746,Novartis Pharmaceuticals,"Novartis Investigative Site, Salvador, Brazil; Novartis Investigative Site, Belém, Brazil; Novartis Investigative Site, Recife, Brazil; Novartis Investigative Site, Rio de Janeiro, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Ribeirão Preto, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT00930761,Universidade Federal do Rio de Janeiro,"UFRJ Maternidade Escola, Rio de Janeiro, Brazil"
NCT02073383,Federal University of São Paulo,"Federal University of São Paulo, São Paulo, Brazil"
NCT06120283,BeiGene,"Fundacao Pio Xii Hospital de Amor de Barretos, Barretos, Brazil; Hospital Sirio Libanes Brasilia, Brasília, Brazil; Centro de Pesquisas Oncologicas Cepon, Florianópolis, Brazil; Liga Norte Riograndene Contra O Cancer, Natal, Brazil; Fundacao Universidade de Caxias Do Sul Instituto de Pesquisas Em Saude, Petrópolis, Brazil; Hospital Sao Lucas Da Pucrs Uniao Brasileira de Educacao E Assistencia, Porto Algre, Brazil; Instituto Nacional de Cancer, Rio de Janeiro, Brazil; Instituto Dor de Pesquisa E Ensino Hospital Sao Rafael, Salvador, Brazil; Icesp Instituto Do Cancer Do Estado de Sao Paulo Octavio Frias de Oliveira, São Paulo, Brazil; Clinica de Pesquisa E Centro de Estudos Em Oncologia Ginecologica E Mamaria, São Paulo, Brazil; Hospital Israelita Albert Einstein, São Paulo, Brazil"
NCT02053610,Hoffmann-La Roche,", Goiânia, Brazil; , Belo Horizonte, Brazil; , Porto Alegre, Brazil; , Santo André, Brazil; , São Paulo, Brazil"
NCT01137227,University of Sao Paulo General Hospital,"Universidade de São Paulo, School of Medicine, São Paulo, Brazil"
NCT04912869,Hoffmann-La Roche,"Hospital Sao Rafael - HSR, Salvador, Brazil; Hospital das Clinicas - UFRGS, Porto Alegre, Brazil"
NCT00878735,Hospital Israelita Albert Einstein,"Instituto Israelita de Ensino e Pesquisa Albert Einstein, São Paulo, Brazil"
NCT04446117,Exelixis,"Exelixis Site #163, Curitiba, Brazil; Exelixis Clinical Site #204, Curitiba, Brazil; Exelixis Clinical Site #171, Rio de Janeiro, Brazil; Exelixis Site #157, Porto Alegre, Brazil; Exelixis Clinical Site #132, Blumenau, Brazil; Exelixis Clinical Site #191, Campinas, Brazil; Exelixis Clinical Site #128, Ribeirão Preto, Brazil; Exelixis Clinical Site #106, São José do Rio Preto, Brazil; Exelixis Site #161, São Paulo, Brazil; Exelixis Clinical Site #154, Barretos, Brazil; Exelixis Clinical Site #140, Fortaleza, Brazil; Exelixis Clinical Site #153, Porto Alegre, Brazil; Exelixis Clinical Site #145, Ribeirão Preto, Brazil; Exelixis Clinical Site #116, Santa Cruz do Sul, Brazil"
NCT04558918,Novartis Pharmaceuticals,"Novartis Investigative Site, Santo André, Brazil; Novartis Investigative Site, São Paulo, Brazil"
