CNES,NOMEFANT
2089327,HOSPITAL PADRE ALBINO CATANDUVA
2089335,HOSP ESCOLA EMILIO CARLOS CATANDUVA
2089432,HOSPITAL SANTA MONICA ITAPECERICA DA SERRA
2089548,SANTA CASA DE PITANGUEIRAS
2089572,ASSOC CRUZ VERDE
2089602,HOSPITAL SEPACO
2089637,CASA DE SAUDE NSRA DO CAMINHO
2089696,HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP
2089777,HOSP NIPO BRASILEIRO
2089785,HOSPITAL DO RIM E HIPERTENSAO
2090171,UNIDADE HOSPITALAR DR JOSE NIGRO NETO AMERICO BRASILIENSE
2090236,FUNDACAO PIO XII BARRETOS
2090309,CENTRO DE ATENCAO INTEGRAL A SAUDE CANTIDIO DE MOURA CAMPOS
2090333,SANTA CASA DE CERQUEIRA CESAR
2090376,HOSPITAL MUNICIPAL JULIO RODRIGUES DE PAULA COLOMBIA
2090619,UNIDADE MISTA DE SAUDE ANTONIA RAMOS PRIANTI
2090724,SANTA CASA ITABERA
2090961,HOSPITAL CARLOS FERNANDO MALZONI MATAO
2091097,HOSPITAL SAO JOSE PARANAPANEMA
2091267,SANTA CASA SANTA RITA DO PASSA QUATRO
2091275,CAIS CENTRO ATENCAO INTEGRAL SAUDE SANTA RITA PASSA QUATRO
2091305,H O REDENTORA HOSPITAL DE OLHOS
2091313,HOSPITAL REGIONAL SUL SAO PAULO
2091356,HOSPITAL VITAL BRAZIL SAO PAULO
2091399,ASSOCIACAO NOSSA SENHORA DO PARI
2091542,AME AMBULATORIO MEDICO DE ESPECIALIDADES MARIA ZELIA
2091550,INST CEMA DE OFTALMOLOGIA E OTORRINOLARINGOLOGIA
2091577,CENTRO DE OFTALMOLOGIA TADEU CVINTAL
2091585,HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO
2091623,CLINICA CHARCOT
2091658,HOSPITAL DIA M BOI MIRIM I JARDIM IBIRAPUERA
2091666,COMPLEXO DE SAUDE DR WLADIMIR ARRUDA
2091755,HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO
2091763,HOSP VERA CRUZ
2091801,HOSP PS COMUNITARIO V IOLANDA
2092093,HOSPITAL E MATERNIDADE SAO VICENTE DE PAULO VIRADOURO SP
2092107,HOSPITAL DE CLINICAS DE FRANCO DA ROCHA FRANCO DA ROCHA
2092298,SANTA CASA DE ITU
2092395,HOSPITAL MUNICIPAL IBATE
2092611,SANTA CASA DE BARRETOS
2092638,SANTA CASA DE FARTURA
2092980,HOSPITAL DE BASTOS
2093022,PRONTO DE ATENDIMENTO ELDORADO S P
2093030,HOSPITAL SANTO ANTONIO DE JUQUIA JUQUIA
2093197,HOSPITAL MUNICIPAL DE JANDIRA
2093227,IRMANDADE DA SANTA CASA DE MISERICORDIA DE ITAI
2093324,SANTA CASA DE FERNANDOPOLIS
2093332,SANTA CASA DE SANTA FE DO SUL
2093405,INAMEX NHANDEARA
2093502,HOSPITAL SAO DOMINGOS NA PROV DE DEUS NHANDEARA
2095912,HOSPITAL JOSE VENANCIO
2096196,HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA
2096412,SANTA CASA DE MISERICORDIA DE JACAREI
2096463,SANTA CASA DE MOGI GUACU
2096498,HOSPITAL MUNICIPAL DR TABAJARA RAMOS
2096617,HOSPITAL ASSISTENCIAL MARIA CAVALOTTI NEVES POTIRENDABA
2096625,HOSPITAL SAO JOAO PRESIDENTE PRUDENTE
2097605,HOSPITAL IELAR
2097613,HOSPITAL INFANTE D HENRIQUE
2097648,HOSPITAL BEZERRA DE MENEZES
2097656,HORP HOSPITAL DO OLHO RIO PRETO
2097877,IRMANDADE DA SANTA CASA DE MISERICORDIA DE VALINHOS
2688433,COMPLEXO HOSPITALAR SANTA CASA BRAGANCA PAULISTA
2688514,HOSPITAL PSIQUIATRICO DE VILA MARIANA
2688522,CASA DE DAVID SAO PAULO
2688573,HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO
2688638,INST SUEL ABUJAMRA
2688689,SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO
2698374,HOSPITAL DE MISERICORDIA NOSSA SENHORA APARECIDA
2698439,AMBESP NELSON TEIXEIRA
2698463,SECAO HOSPITAL E MATERNIDADE MUNICIPAL DR SILVERIO FONTES
2698471,SECAO HOSPITAL MUNICIPAL DR ARTHUR DOMINGUES PINTO
2698625,UNIDADE MISTA DE SAUDE DE BURI
2699915,SANTA CASA DE VINHEDO
2700204,HOSPITAL MUNICIPAL DE CONCHAS
2701561,INSTITUTO JUNDIAIENSE LUIZ BRAILLE UNIDADE I
2702193,SANTA CASA DE MISERICORDIA DE UBATUBA
2704900,HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROV DE DEUS
2705222,SANTA CASA DE MOCOCA MOCOCA
2705249,HOSPITAL MUNICIPAL MARIA ROSA CARDOSO
2705982,SANTA CASA DE FRANCA
2706245,UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II
2707209,SECAO ATENCAO ESPECIALIZADA DST AIDS HEPATITE TB ADULTO
2708558,HOSPITAL EVANGELICO DE SOROCABA
2708566,HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO
2708760,POLICLINICA MUNICIPAL DR EDWARD MALUF SOROCABA
2708779,SANTA CASA DE SOROCABA
2716089,HOSPITAL DIA EM AIDS
2716097,COMPLEXO HOSPITALAR IRMA DULCE O S S
2716275,HOSPITAL E MATERNIDADE MAE DO DIVINO AMOR NA PROV DEUS
2716291,HOSPITAL JOAO VELLOSO
2716593,HOSPITAL DE MISERICORDIA ALTINOPOLIS
2716801,HOSPITAL DA CRIANCA GRENDACC
2716852,HOSPITAL SAO FRANCISCO MARILIA
2718324,HOSPITAL BOM CLIMA
2745356,CLINICA ANDRE LUIZ
2745402,SANTA CASA DE MISERICORDIA DE FLORIDA PAULISTA
2745798,HOSPITAL BENEFICENTE SANTO ANTONIO ORLANDIA
2745801,HOSPITAL SAO MARCOS MORRO AGUDO
2746220,COMPLEXO HOSPITALAR JUQUERY FRANCO DA ROCHA
2746298,SANTA CASA DE SANTA ROSA DE VITERBO
2747022,CASA DE SAUDE SANTA EMILIA DOURADO
2747685,SANTA CASA DE MISERICORDIA NOVA EUROPA
2747693,SANTA CASA DE MISERICORDIA RIBEIRAO BONITO
2747871,HOSPITAL MUNICIPAL GOV MARIO COVAS JR
2748010,SANTA CASA DE PARAIBUNA
2748029,SANTA CASA DE SAO JOSE CAMPOS
2748223,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU
2748231,HOSPITAL REGIONAL DE BOTUCATU
2748320,HOSPITAL MUNICIPAL JORGE CURY DE SANTA MARIA DA SERRA
2748436,HOSP MAT BENEF DE CHARQUEADA
2748568,SANTA CASA DE MISERICORDIA DE CAPIVARI
2749033,CENTRO DE REABILITACAO DE CASA BRANCA
2749149,SANTA CASA DE MISERICORDIA DE TAMBAU
2749319,HOSPITAL MUNICIPAL UNIVERSITARIO DE TAUBATE
2750511,HOSPITAL ESTADUAL DR ODILO ANTUNES DE SIQUEIRA P PRUDENTE
2750538,HOSPITAL MUNICIPAL DE IEPE
2750546,HOSPITAL ESTADUAL PORTO PRIMAVERA ROSANA
2750554,HOSPITAL STA MARIA DE PIRAPOZINHO
2750988,SANTA CASA DE DRACENA
2751003,SANTA CASA DE JUNQUEIROPOLIS
2751011,SANTA CASA MISERICORDIA PADRE JOAO SCHNEIDER MARTINOPOLIS
2751038,SANTA CASA DE PRESIDENTE EPITACIO
2751046,SANTA CASA DE SANTO ANASTACIO
2751569,SANTA CASA DE MISERICORDIA DE CERQUILHO
2751623,HOSPITAL FRANCISCO ROSAS
2751674,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS
2751704,SANTA CASA DE MISERICORDIA DE ITUVERAVA
2751747,SANTA CASA DE MAUA
2751852,HOSPITAL DIA VILA PRUDENTE
2751860,HOSPITAL DIA FLAVIO GIANNOTTI
2751925,HOSPITAL DIA CIDADE ADEMAR
2751933,HOSPITAL DIA PENHA HATIRO SHIMOMOTO
2751976,HOSPITAL DIA SAO MIGUEL DR TITO LOPES DA SILVA
2752077,HOSP DO SERV PUB MUNICIPAL HSPM
2754843,HOSPITAL SANTO AMARO
2754908,AMBULATORIO DE SAUDE MENTAL E HOSP DIA NICANOR P DE GODOY
2755092,SANTA CASA DE PINDAMONHANGABA
2755130,HOSPITAL DOMINGOS LEONARDO CERAVOLO PRESIDENTE PRUDENTE
2758245,SANTA CASA DE LINS
2765934,HOSPITAL DE CLINICAS DE SAO SEBASTIAO
2765942,HOSPITAL SANTA LUCINDA SOROCABA
2766167,HOSPITAL E MATERNIDADE SAO VICENTE DE PAULO RIO DAS PEDRAS
2772310,SANTA CASA DE PIRACICABA
2773171,HOSPITAL DO CANCER DR FLAVIO ISAIAS RODRIGUES MOGI DAS CRUZE
2773333,SANTA CASA DE GUARAREMA
2774720,HOSPITAL DE AGUDOS
2784602,HOSPITAL AUGUSTO DE OLIVEIRA CAMARGO
2785188,UNIDADE MISTA DE SAUDE DE TABOAO DA SERRA
2785382,SANTA CASA DE PIRASSUNUNGA
2786435,HCSVP HOSPITAL SAO VICENTE
2786680,HOSP MUN FERNANDO MAURO PIRES DA ROCHA
2789345,UMI ANA FERNANDES DE FREITAS ANA PARTEIRA GUARUJA
2790556,HOSPITAL DE BASE DE BAURU
2790564,HOSPITAL DE REABILITACAO DE ANOMALIAS CRANIOFACIAIS BAURU
2790580,MATERNIDADE SANTA ISABEL
2790599,HOSPITAL E MATERNIDADE SAO CAMILO IGARACU TIETE
2790602,HOSPITAL ESTADUAL BAURU
2790610,HOSPITAL GERAL PREFEITO MIGUEL MARTIN GUALDA DE PROMISSAO
2790637,HOSPITAL SANTA LUZIA DUARTINA
2790653,HOSPITAL TEREZA PERLATTI JAU
2790661,HOSPITAL UNIMED DE BAURU
2790734,INSTITUTO LAURO DE SOUZA LIMA BAURU
2790998,LAR IRMA DULCE NA PROVIDENCIA DE DEUS PIRAJUI
2791668,SANTA CASA DE AREALVA
2791676,SANTA CASA DE BARIRI
2791684,SANTA CASA DE CAFELANDIA
2791692,SANTA CASA DE DOIS CORREGOS
2791706,SANTA CASA DE GETULINA
2791714,SANTA CASA DE IACANGA
2791722,SANTA CASA DE JAU
2791730,SANTA CASA DE MISERICORDIA DE BOCAINA
2791749,SANTA CASA DE PEDERNEIRAS
2791757,SANTA CASA DE PIRATININGA
2791773,CENTRO DE REFERENCIA EM MOLESTIAS INFECCIOSAS CRMI BAURU
2792141,HOSPITAL REGIONAL DE COTIA
2792168,HOSPITAL GERAL DE CARAPICUIBA
2792176,HOSPITAL GERAL DE ITAPECERICA DA SERRA
2792346,UPA PIRACICAMIRIM DR FORTUNATO LOSSO NETO PIRACICABA
2798239,HOSPITAL SAO JOSE ITIRAPINA
2798298,SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO
2801051,PRONTO SOCORRO CENTRAL DE DIADEMA
2811626,HOSPITAL METROPOLITANO CAMPINAS
2812703,FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE PSIQUIATRIA SP
2831503,AME VALE DO JURUMIRIM
2855917,AMB MED ESPEC DOM ANTONIO AFFONSO DE MIRANDA AME TAUBATE
2867257,CENTRO HOSPITALAR DE GUARATINGUETA DA VINCI
2882949,PRONTO SOCORRO INFANTIL
2888491,HOSPITAL SAO VICENTE DE PAULO
2956098,HOSPITAL CLINICO MUNICIPAL CECILIA DE LOURDES O FONSECA
3001466,CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO
3012212,HU HOSPITAL UNIVERSITARIO
3021378,HOSPITAL DO VICENTINO
3028399,HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO
3058808,HOSPITAL REGIONAL DE BEBEDOURO HRB
3071448,HOSPITAL DE RETAGUARDA FERNAO DIAS
3105571,STS ESTETICLIN
3126838,HOSPITAL REGIONAL DO VALE DO PARAIBA
3139050,HOSPITAL DR LEO ORSI BERNARDES ITAPETININGA
3212130,HOSP MUN VER JOSE STOROPOLLI
3223728,SANTA CASA DE MISERICORDIA DE SAO BERNARDO DO CAMPO
3254631,FUNDACAO PENIDO BURNIER CAMPINAS
3314766,HOSPITAL ELECTRO BONINI RIBEIRAO PRETO
3345327,KAISER CLINICA
3346072,HOSPITAL DE OLHOS DO VALE
3529282,HOSPITAL MUNICIPAL DOMINGO MARCOLINO BRAILE FUNFARME
3539113,HOSPITAL DE SAO ROQUE
3708608,UPA EUGENIO DE MELO
3753433,HOSPITAL LEONOR MENDES DE BARROS
3774554,HOSPITAL E MATERNIDADE MUNICIPAL N S DO MONTE SERRAT
3825752,PRONTO SOCORRO PESTANA P S ANDRE SACCO
3828107,PRONTO SOCORRO DR OSMAR MESQUITA
3880966,HOSPITAL DAS CLINICAS DE BAURU HCB
3949621,HOSPITAL MUNICIPAL DR ALCIPIO DA SILVA OLIVEIRA JUNIOR
4047613,PRONTO SOCORRO DA VILA DIRCE
4047966,HOSPITAL INFANTIL DE DIADEMA
4048660,UMS DE JUQUITIBA
4049020,SANTA CASA DE OURINHOS
4050665,PRONTO SOCORRO MUNICIPAL DE TAUBATE
4123077,IGESP SA CENTRO MEDICO E CIRURGICO INST GASTROENT DE SP
4233646,HOSPITAL REGIONAL DO ALTO TIETE HRAT
4390563,AMBULATORIO MEDICO DE ESPECIALIDADES DE RIBEIRAO PRETO
4702069,HOSPITAL SANTO ANTONIO DE LOUVEIRA
4943309,HOSPITAL REGIONAL ROTA DOS BANDEIRANTES HRRB
5033543,CASA TRANSITORIA ANDRE LUIZ
5130883,HSOLHOS
5170958,IOM HOSPITAL DIA
5171946,HOSPITAL SAO LUCAS RIBEIRANIA
5200105,HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA
5366828,SANTA CASA DE ATIBAIA
5420938,HOSP MUN CARMEN PRUDENTE
5435072,PRONTO SOCORRO JARDIM JACIRA
5437156,HOSPITAL LOCAL DE SAPOPEMBA
5451612,INSTITUTO DE REABILITACAO LUCY MONTORO
5466601,CONSAUDE PEDREIRA
5472040,PRONTO SOCORRO ALVARENGA
5586348,HOSPITAL UNIVERSITARIO DA UFSCAR
5674042,PRONTO ATENDIMENTO PAULICEIA
5674050,PRONTO ATENDIMENTO DEMARCHI
5674085,PRONTO ATENDIMENTO SILVINA
5718368,HOSP MUN M BOI MIRIM
5851084,QUARTEIRAO DA SAUDE ENGENHEIRO OSVALDO MISSO
5860490,HOSPITAL UNIVERSITARIO DE MARILIA
5869412,HOSPITAL GACC VALE DO PARAIBA
5887623,HOSPITAL ESTADUAL DE RIB PRETO DR CARLOS EDUARDO MARTINELLI
5932696,PS FENELON GUEDES PEREIRA
5935857,HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN
6014739,CENTRO DE COMBATE COVID 19 POLICLINICA
6020917,HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN
6024688,PSI RENE APRIGIO BRUNETTI DA SILVA
6053858,COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI
6095666,HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN
6123740,INSTITUTO DO CANCER DO ESTADO DE SAO PAULO
6135749,HOSPITAL DIA MOOCA
6136028,HOSPITAL DIA ITAIM PAULISTA
6164366,HOSPITAL ESTADUAL AMERICO BRASILIENSE
6166598,AME AMBULATORIO MEDICO DE ESPECIALIDADES DE SANTOS
6212581,AME AMBULATORIO MED DE ESPECIALIDADES STA BARBARA DOESTE
6233848,AME AMBULATORIO MEDICO DE ESPECIALIDADES DE CARAGUATATUBA
6236596,HOSPITAL ESTADUAL JOAO PAULO II SAO JOSE DO RIO PRETO
6258484,AME AMBULATORIO MEDICO DE ESPECIALIDADES DE PRAIA GRANDE
6270107,PRONTO SOCORRO SANTO ANTONIO
6270131,UPA JAGUARE
6284582,AME PIRACICABA DR OSWALDO CAMBIAGHI
6289304,AME AMBULATORIO MEDICO DE ESPECIALIDADES BARRETOS
6291635,CENTRO OFTALMOLOGICO DE REFERENCIA
6391869,HOSPITAL DIA SAO MATEUS DR HENRIQUE CARLOS GONCALVES
6418651,UPA SAO PEDRO
6421822,HOSPITAL DE CONCHAS
6451098,HOSPITAL DALILA FERREIRA BARBOSA
6452302,SANTA CASA DE QUELUZ
6479200,AME DR LUIZ ROBERTO BARRADAS BARATA SAO PAULO
6535798,UPA DEMARCHI BATISTINI
6585019,UNAD UNIDADE DE ATENDIMENTO AO DEPENDENTE
6591620,PRONTO ATENDIMENTO INFANTIL
6603378,HOSPITAL MUNICIPAL LEONARDUS VAN MELLIS
6607330,AME AMBULATORIO DE ESPECIALIDADES MEDICAS DE TUPA
6607667,UPA UNIAO ALVARENGA
6628842,PAM POSTO DE ATENDIMENTO MEDICO BARRETO COVID 19
6650864,UPA RIACHO GRANDE
6655416,AME SANTO ANDRE DR NEWTON DA COSTA BRANDAO
6669727,AME AMBULATORIO MEDICO DE ESPECIALIDADES DE FRANCA
6680968,HOSPITAL MUNICIPAL SANTO ANTONIO
6719287,SANTA CASA DE SUZANO UNIDADE II
6788122,INDAIATUBA DAY HOSPITAL
6817203,HOSPITAL DE CLINICAS CAIEIRAS
6821197,UPA PAULICEIA TABOAO
6844596,UPA BAETA NEVES
6878687,HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO
6891411,IBCC UNIDADE JACANA
6895263,AME AMBULATORIO MED ESPECIALIDADES DE SAO JOAO DA BOA VISTA
6919456,UPA ZAIRA
6921795,HOSPITAL DE CONCHAS
6938361,HOSPITAL SAO CAETANO
6943284,MATERNIDADE GOTA DE LEITE DE ARARAQUARA
6950043,UPA VILA ASSIS
6950051,UPA MAGINI CENTRO
6966594,HOSPITAL E MATERNIDADE MUNICIPAL DE SAO VICENTE
6971199,HOSPITAL DIA SANTA RITA
6984649,BP HOSPITAL FILANTROPICO
6992560,AME AMBULATORIO MEDICO DE ESPECIALIDADES JUNDIAI
6998178,HOSPITAL DIA CAMPO LIMPO JARDIM PIRAJUSSARA
6998194,HOSP MUN SOROCABANA
6998704,COMPLEXO HOSPITALAR DOS ESTIVADORES
7019076,HOSPITAL DIA BRASILANDIA FO
7021461,UPA SACADURA CABRAL
7030878,UPA RUDGE RAMOS
7047517,UPA JARDIM SANTO ANDRE
7053835,UPA ALVES DIAS ASSUNCAO
7066376,HOSPITAL DE AMOR JALES
7094132,UNIDADE DE PRONTO ATENDIMENTO UPA I SANTA ISABEL
7113218,UPA PERIMETRAL
7169310,UPA SILVINA
7188676,AME AMBULATORIO MEDICO DE ESPECIALIDADES DE OURINHOS
7210094,HOSPITAL MUNICIPAL DE CONCHAS
7228163,PRONTO SOCORRO CENTRAL
7252455,HOSPITAL PROFESSORA LYDIA STOROPOLI
7299532,UPH LESTE UNIDADE PRE HOSPITALAR ZONA LESTE SOROCABA
7320175,HOSPITAL SAO MIGUEL ARCANJO
7327021,HOSPITAL OFTALMOLOGICO SOROCABA UNID OTORRINOLARINGOLOGIA
7371349,HOSPITAL DR OLAVO HORNEAUX DE MOURA SAO VICENTE
7373465,HOSPITAL DE CLINICAS MUNICIPAL
7378394,HOSPITAL DIA M BOI MIRIM II VERA CRUZ
7385978,UNIDADE HD PIRITUBA CIES
7400926,FUNDACAO HOSPITAL REGIONAL DO CANCER
7420595,HOSPITAL DE RETAGUARDA FRANCISCO DE ASSIS RIBEIRAO PRETO
7473702,HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO
7496117,AMBULATORIO MEDICO DE ESPECIALIDADE AME SOROCABA
7544529,INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA
7572468,INSTITUTO DA VISAO
7573162,HOSPITAL REGIONAL DE JUNDIAI
7580770,HOSPITAL ESTADUAL DE CAIEIRAS
7603274,HOSPITAL MUNICIPAL SAO JOSE
7615280,CANTINHO DO CEU RIBEIRAO PRETO
7682581,PS JOSE IBRAHIN
7684452,HOL CLINICA MEDICA OFTALMOLOGICA LIMEIRA
7711980,HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO
7849184,HOSPITAL SANTA MARIA DE SUZANO
7894260,HOSPITAL GUARUJA
7947984,COMPLEXO MUNICIPAL DE SAUDE
7965192,HOSPITAL UNIMED RIBEIRAO PRETO
7979649,HOSPITAL DIA VILA GUILHERME
7992890,HOSP MUN CAPELA DO SOCORRO
8002959,UNIDADE MISTA DE ATENDIMENTO A SAUDE DE LUIZIANIA
8005877,HOSPITAL SAO MARCOS JABOTICABAL
9149511,HOSPITAL NEUROCENTER
9211861,UPA III DR THELMO DE ALMEIDA CRUZ
9232141,AME AMB MEDICO DE ESP FRANCESCO LEONARDO BEIRA DE AMPARO
9265732,CIES GLOBAL SOROCABA
9267263,UNIDADE DE RETAGUARDA DE URGENCIA E DIAGNOSTICO DO MELHADO
9297715,MATERNIDADE MUNICIPAL DE PERUIBE
9314687,AME TAQUARITINGA
9377255,CLINICA ACONCHEGO
9403345,CIES GLOBAL III
9404236,CIES GLOBAL II
9425802,HOSPITAL REGIONAL DE PIRACICABA
9462023,HOSPITAL DE AMOR CAMPINAS
9465464,HOSP MUN JOSANIAS CASTANHA BRAGA
9491112,HOSPITAL REGIONAL DE SOROCABA
9491252,DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS
9556095,HOSPITAL REGIONAL DE REGISTRO REGISTRO
9567674,INSTITUTO VISAO DO BEM
9580743,AME AMBULATORIO MEDICO DE ESPECIALIDADES DE SAO VICENTE
9639659,SANTA CASA DE MISERICORDIA REGIONAL
9662561,HOSPITAL DE AMOR NOSSA SENHORA
9677011,HOSPITAL E MATERNIDADE MUNICIPAL N S DO MONTE SERRAT
9680500,SANTA CASA DE GARCA HOSPITAL SAO LUCAS HSL
9773657,HOSPITAL ESTADUAL DE SERRANA
9806342,HOSPITAL SAMARITANO CAMPINAS UNIDADE 2
9898565,HOFTALMED
9950931,HOSPITAL DIA SANTO AMARO
00331474000116,WANDERLEY MESQUITA FERREIRA S S LTDA
04044299000137,PREFEITURA MUNICIPAL DE CAROEBE
04056206000194,HOSPITAL EPITACIO DE ANDRADE LUCENA
04056222000187,UNIDADE MISTA RUTH QUITERIA
11509468000122,HOSPITAL LOTTY IRIS LTDA
26989350023248,PREFEITURA MUNICIPAL DE CARACARAI
34811331000123,SECRETARIA DE ESTADO DA SAUDE
34811349000125,HOSPITAL CORONEL MOTA
84013416000134,HOSPITAL GERAL DE RORAIMA
84013440000173,HOSPITAL ESTADUAL JOSE GUEDES CATAO
84013457000120,UNIDADE MISTA SAO JOAO DA BALIZA
84013465000177,HOSPITAL PEDRO ALVARO RODRIGUES
84013473000113,UNIDADE MISTA RUTH QUITERIA
84013499000161,PREFEITURA MUNICIPAL DE PACARAIMA
84015726000198,HOSPITAL DE RORAINOPOLIS
00070400000173,HOSPITAL NOSSA SENHORA DA PENHA LTDA
00750846000149,HOSPITAL DE OLHOS SADALLA AMIN GHANEM
01476404000542,ASSOCIACAO DAS CRIANCAS EXCEPCIONAIS DE NOVA IGUACU
01630921000281,SOCIEDADE PADRE EDUARDO MICHELIS
01726171000165,CLINICA MEDICA OFTALMOLOGICA BLUMENAU LTDA
01728890000115,CLINICA REVIVER LTDA
01767090000103,ASSOCIACAO HOSPITALAR BENEFICENTE FREI BRUNO
01880344000103,HOSPITAL SANTA CATARINA
02122913000106,ASSOCIACAO HOSPITALAR LENOIR VARGAS FERREIRA
02122913000297,ASSOCIACAO HOSPITALAR LENOIR VARGAS FERREIRA
02122913000378,ASSOCIACAO HOSPITALAR LENOIR VARGAS FERREIRA
02145908000119,CENTRO INTEGRADO DE OFTALMOLOGIA LTDA
02160922000191,ASSOCIACAO COMUNITARIA SAO JUDAS TADEU
02462541000167,INSTITUTO DE OLHOS DR CARLO WILLE SC LTDA
02765097000663,ASSOCIACAO BENEDITINA DA PROVIDENCIA HOSPITAL SAO MARCOS
02765097001635,ASSOCIACAO BENEDITINA DA PROVIDENCIA ABENP
03086218000107,PREFEITURA MUNICIPAL DE TIMBO GRANDE
03177955000107,SOCIEDADE HOSPITALAR BENEFICENTE SAO MIGUEL
03746769000141,SOCIEDADE BENEFICIENTE HOSPITALAR SENHOR BOM JESUS
03911028000179,HOSPITAL MUNICIPAL DE BOM JARDIM DA SERRA
05576125001400,INSTITUTO SAS
06879414000208,INSTITUTO DE GESTAO ADMINISTRACAO E PESQUISA EM SAUDE IGAPS
07051643000103,ASSOCIACAO HOSPITALAR DOM JOAQUIM
07345851000204,CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO RS
07420153000137,ASSOCIACAO HOSPITALAR NOSSA SENHORA DE FATIMA SC
07506752000178,INSTITUTO DE SAUDE E EDUCACAO VIDA
07506752001492,INSTITUTO DE SAUDE E EDUCACAO VIDA
07506752001573,INSTITUTO DE SAUDE E EDUCACAO VIDA
07506752002030,INSTITUTO DE SAUDE E EDUCACAO VIDA
07506752002200,INSTITUTO DE SAUDE E EDUCACAO VIDA
07638566000273,INSTITUTO CIVITAS DE DESENVOLVIMENTO HUMANO
08325231000349,INSTITUTO DE SAUDE SANTA CLARA
08325231001230,INSTITUTO DE SAUDE SANTA CLARA
08776971000210,INSTITUTO SANTE
08776971000300,INSTITUTO SANTE
08776971000482,INSTITUTO SANTE
08776971000563,INSTITUTO SANTE
08776971000725,INSTITUTO SANTE
08776971000806,INSTITUTO SANTE
08815694000127,INSTITUTO NACIONAL FILANTROPICO AMIGOS DA SAUDE INFAS
09206353000117,SANTA CASA SAO JOAO BATISTA
09473029000165,SOCIEDADE HOSPITALAR ITAPIRANGA LTDA
10696857000141,ASSOCIACAO PROTECAO E SAUDE
11074062000245,INSTITUTO ADONHIRAN DE ASSISTENCIA A SAUDE
11096423000173,HOSPITAL BAIA SUL
11347027000171,HOSPITAL DE OLHOS DE CONCORDIA
11659651000104,HOSPITAL DIA DE OFTALMOLOGIA LTDA
12846027000189,ASSOCIACAO HOSPITALAR SAO JOSE DE JARAGUA DO SUL
12846027000189,ASSOCIACAO HOSPITALAR SAO JOSE DE JARAGUA DO SUL
15126437003401,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH
15281509000127,ASSOCIACAO BENEFICENTE FREI ROGERIO
17034086000176,UGF SERVICOS HOSPITALARES S A
17757127000152,ASSOCIACAO FRAIBURGUENSE DE SAUDE COLETIVA AFSC
18089166000191,ASSOCIACAO HOSPITALAR WITMARSUM AHWI
19020546000132,INSTITUTO BAIA SUL DE ENSINO E PESQUISA DR IRINEU MAY BRODB
23453830001907,PREFEITURA MUNICIPAL DE SAO FRANCISCO DO SUL SC
24006302000488,INSTITUTO DE DESENVOLVIMENTO ENSINO E ASSISTENCIA A SAUDE
24006302000640,PREFEITURA MUNICIPAL DE SAO FRANCISCO DO SUL SC
24006302000720,I D E A S INSTITUTO DESENVOLVIMENTO ENSINO E ASSISTENCIA A
24006302000801,I D E A S INSTITUTO DESENVOLVIMENTO ENSINO E ASSISTENCIA A
26919784000140,CENTRO CIRURGICO OFTALMOLOGICO RGA LTDA
27611852000171,FUNDACAO DE SAUDE DE LAURO MULLER
28238944000110,ASSOCIACAO ROGACIONISTA EVANGELICA DE ASSISTENCIA A SAUDE
28700530000242,INSTITUTO MARIA SCHMITT DE DESENVOLVIMENTO DE ENSINO ASSIST
28700530000323,HOSPITAL SANTO ANTONIO IMAS
28700530000595,INSTITUTO MARIA SCHMITT DE DESENVOLVIMENTO DE ENSINO ASSIST
28700530000676,INSTITUTO MARIA SCHMITT DE DESENVOLVIMENTO DE ENSINO ASSIST
